ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-09-26,Queijo Mussarela Fatiado 200g,Laticínios e Frios,8,15.83
2,2023-08-20,Feijão Carioca 1kg,Mercearia,1,9.01
3,2023-03-06,Arroz Branco 5kg,,9,33.92
4,2023-04-07,Água Sanitária 1L,Limpeza,7,4.52
5,2023-10-10,Tomate Kg,Hortifrúti,10,
6,2023-03-21,Banana Prata Kg,Hortifrúti,10,6.74
7,2023-02-17,Banana Prata Kg,Hortifrúti,6,7.86
8,2023-07-13,Iogurte Natural Copo,Laticínios e Frios,10,5.28
9,2023-09-15,Arroz Branco 5kg,Mercearia,7,32.74
10,2023-01-17,Leite Integral 1L,Laticínios e Frios,6,6.87
11,2023-05-21,Tomate Kg,Hortifrúti,6,8.21
12,2023-01-10,Sabão em Pó 1kg,Limpeza,2,15.25
13,2023-09-29,Sabão em Pó 1kg,Limpeza,6,21.25
14,2023-08-09,Suco de Laranja 1L,Bebidas,1,8.72
15,2023-11-06,Água Mineral 1.5L,Bebidas,10,3.41
16,2023-12-31,Cebola Kg,Hortifrúti,5,7.6
17,2023-06-22,Leite Integral 1L,Laticínios e Frios,1,6.26
18,2023-07-12,Queijo Mussarela Fatiado 200g,Laticínios e Frios,9,13.21
19,2023-01-08,Água Mineral 1.5L,Bebidas,8,2.42
20,2023-08-16,Detergente Líquido 500ml,Limpeza,9,3.62
21,2023-12-25,Tomate Kg,Hortifrúti,7,10.0
22,2023-05-15,Banana Prata Kg,Hortifrúti,2,7.69
23,2023-02-28,Biscoito Recheado,Mercearia,1,3.81
24,2023-03-28,Detergente Líquido 500ml,Limpeza,7,2.95
25,2023-12-19,Banana Prata Kg,Hortifrúti,10,8.47
26,2023-01-30,Arroz Branco 5kg,Mercearia,2,29.28
27,2023-01-12,Cebola Kg,Hortifrúti,1,6.52
28,2023-03-22,Iogurte Natural Copo,Laticínios e Frios,5,5.64
29,2023-09-02,Leite Integral 1L,Laticínios e Frios,1,7.77
30,2023-12-01,Detergente Líquido 500ml,Limpeza,4,2.86
31,2023-12-13,Leite Integral 1L,Laticínios e Frios,4,7.14
32,2023-07-22,Banana Prata Kg,Hortifrúti,2,5.87
33,2023-01-16,Arroz Branco 5kg,Mercearia,6,
34,2023-12-30,Tomate Kg,Hortifrúti,7,11.19
35,2023-10-21,Suco de Laranja 1L,Bebidas,1,12.17
36,2023-06-21,Arroz Branco 5kg,Mercearia,3,28.83
37,2023-08-09,Sabão em Pó 1kg,Limpeza,4,16.39
38,2023-03-23,Suco de Laranja 1L,Bebidas,1,10.27
39,2023-11-22,Biscoito Recheado,Mercearia,2,4.41
40,2023-12-11,Água Mineral 1.5L,Bebidas,6,3.29
41,2023-08-29,Água Sanitária 1L,Limpeza,8,4.84
42,2023-03-21,Tomate Kg,Hortifrúti,5,8.51
43,2023-01-13,Água Sanitária 1L,Limpeza,8,4.7
44,2023-10-28,Refrigerante 2L,Bebidas,3,8.69
45,2023-02-20,Sabão em Pó 1kg,Limpeza,8,24.59
46,2023-11-04,Suco de Laranja 1L,Bebidas,9,12.87
47,2023-02-28,Sabão em Pó 1kg,Limpeza,3,20.04
48,2023-09-18,Iogurte Natural Copo,Laticínios e Frios,2,4.25
49,2023-12-04,Água Mineral 1.5L,Bebidas,10,2.5
50,2023-12-14,Detergente Líquido 500ml,Limpeza,4,2.07
51,2023-07-30,Sabão em Pó 1kg,Limpeza,8,
52,2023-02-03,Iogurte Natural Copo,Laticínios e Frios,9,4.1
53,2023-04-29,Iogurte Natural Copo,Laticínios e Frios,1,5.95
54,2023-10-05,Água Mineral 1.5L,Bebidas,2,2.6
55,2023-04-18,Água Sanitária 1L,Limpeza,1,5.78
56,2023-10-21,Queijo Mussarela Fatiado 200g,Laticínios e Frios,4,16.29
57,2023-05-24,Refrigerante 2L,Bebidas,6,7.88
58,2023-03-21,Biscoito Recheado,Mercearia,10,4.01
59,2023-07-23,Cebola Kg,Hortifrúti,7,7.96
60,2023-07-23,Refrigerante 2L,Bebidas,2,10.85
61,2023-11-21,Água Mineral 1.5L,Bebidas,6,3.94
62,2023-02-06,Feijão Carioca 1kg,Mercearia,3,11.68
63,2023-11-20,Tomate Kg,Hortifrúti,6,6.18
64,2023-01-07,Biscoito Recheado,Mercearia,8,4.06
65,2023-10-11,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,14.8
66,2023-05-13,Cebola Kg,Hortifrúti,2,9.69
67,2023-12-06,Cebola Kg,Hortifrúti,6,9.94
68,2023-05-29,Biscoito Recheado,Mercearia,10,4.62
69,2023-10-10,Iogurte Natural Copo,Laticínios e Frios,1,4.67
70,2023-12-09,Feijão Carioca 1kg,,10,11.33
71,2023-09-01,Iogurte Natural Copo,Laticínios e Frios,7,5.91
72,2023-01-14,Banana Prata Kg,Hortifrúti,2,6.8
73,2023-12-27,Suco de Laranja 1L,Bebidas,3,9.57
74,2023-05-12,Água Sanitária 1L,Limpeza,6,5.74
75,2023-06-29,Queijo Mussarela Fatiado 200g,Laticínios e Frios,1,12.26
76,2023-08-19,Feijão Carioca 1kg,Mercearia,6,9.52
77,2023-07-26,Banana Prata Kg,Hortifrúti,6,6.05
78,2023-03-16,Leite Integral 1L,Laticínios e Frios,6,6.25
79,2023-06-10,Queijo Mussarela Fatiado 200g,Laticínios e Frios,5,13.12
80,2023-02-12,Água Mineral 1.5L,Bebidas,5,2.58
81,2023-03-29,Leite Integral 1L,Laticínios e Frios,8,7.17
82,2023-06-28,Banana Prata Kg,Hortifrúti,4,8.45
83,2023-01-22,Água Sanitária 1L,Limpeza,3,5.44
84,2023-11-19,Água Mineral 1.5L,Bebidas,8,2.21
85,2023-10-12,Tomate Kg,Hortifrúti,4,8.7
86,2023-10-27,Feijão Carioca 1kg,Mercearia,9,8.03
87,2023-06-27,Detergente Líquido 500ml,Limpeza,1,3.27
88,2023-12-30,Biscoito Recheado,Mercearia,5,4.45
89,2023-07-05,Arroz Branco 5kg,Mercearia,9,32.33
90,2023-01-31,Água Sanitária 1L,Limpeza,4,6.04
91,2023-10-19,Feijão Carioca 1kg,Mercearia,1,10.62
92,2023-06-26,Biscoito Recheado,Mercearia,6,4.5
93,2023-07-08,Detergente Líquido 500ml,Limpeza,5,3.19
94,2023-09-18,Tomate Kg,Hortifrúti,10,10.15
95,2023-07-04,Cebola Kg,Hortifrúti,3,7.49
96,2023-07-18,Água Sanitária 1L,Limpeza,3,5.55
97,2023-02-02,Iogurte Natural Copo,Laticínios e Frios,8,4.02
98,2023-09-10,Iogurte Natural Copo,Laticínios e Frios,3,5.81
99,2023-03-17,Cebola Kg,Hortifrúti,2,7.99
100,2023-06-27,Feijão Carioca 1kg,Mercearia,5,9.39
101,2023-03-31,Refrigerante 2L,Bebidas,8,7.83
102,2023-10-07,Água Sanitária 1L,Limpeza,10,5.13
103,2023-07-10,Cebola Kg,Hortifrúti,7,7.22
104,2023-04-01,Leite Integral 1L,Laticínios e Frios,5,7.36
105,2023-11-29,Cebola Kg,Hortifrúti,5,7.02
106,2023-06-12,Refrigerante 2L,Bebidas,6,7.02
107,2023-12-25,Leite Integral 1L,Laticínios e Frios,5,5.86
108,2023-11-16,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,12.52
109,2023-08-14,Banana Prata Kg,Hortifrúti,1,8.35
110,2023-03-29,Iogurte Natural Copo,Laticínios e Frios,2,4.51
111,2023-08-06,Tomate Kg,Hortifrúti,2,6.16
112,2023-05-17,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,17.5
113,2023-03-07,Arroz Branco 5kg,Mercearia,9,31.76
114,2023-03-06,Cebola Kg,Hortifrúti,9,8.07
115,2023-07-06,Água Sanitária 1L,Limpeza,7,6.04
116,2023-06-22,Sabão em Pó 1kg,Limpeza,5,15.93
117,2023-11-23,Cebola Kg,Hortifrúti,3,7.17
118,2023-10-26,Banana Prata Kg,Hortifrúti,8,6.49
119,2023-04-02,Iogurte Natural Copo,Laticínios e Frios,8,3.68
